Area of park,Population year,Species name,Fall population estimate,Estimate method
South,1985,Moose,140,Aerial
North,1985,Deer,121,Aerial
South,1985,Deer,152,Aerial
South,1985,Elk,165,Aerial
North,1986,Elk,840,Aerial
North,1986,Bison,525,"Aerial, Handling"
North,1986,Moose,351,"Aerial, Handling"
North,1986,Deer,98,Aerial
South,1986,Bison,229,Aerial
South,1986,Moose,226,Aerial
South,1986,Deer,142,Aerial
South,1986,Elk,224,Aerial
North,1987,Elk,959,Aerial
South,1987,Bison,272,"Aerial, Handling"
North,1987,Bison,442,"Aerial, Handling"
North,1987,Moose,248,Aerial
South,1987,Moose,145,Aerial
North,1987,Deer,167,Aerial
South,1987,Deer,100,Aerial
South,1987,Elk,330,Aerial
North,1988,Elk,884,Aerial
South,1988,Bison,319,"Aerial, Handling"
North,1988,Bison,535,"Aerial, Handling"
North,1988,Moose,197,Aerial
South,1988,Moose,170,Aerial
South,1988,Deer,149,Aerial
North,1988,Deer,262,Aerial
South,1988,Elk,391,Aerial
North,1989,Elk,NA,Aerial
South,1989,Bison,380,"Aerial, Handling"
North,1989,Bison,NA,NA
South,1989,Moose,77,Aerial
North,1989,Moose,NA,NA
South,1989,Deer,65,Aerial
North,1989,Deer,NA,Aerial
South,1989,Elk,349,Aerial
North,1990,Elk,871,Aerial
North,1990,Bison,576,"Aerial, Handling"
South,1990,Bison,288,"Aerial, Handling"
South,1990,Moose,112,Aerial
North,1990,Moose,276,Aerial
South,1990,Deer,99,Aerial
North,1990,Deer,156,Aerial
South,1990,Elk,368,Aerial
North,1991,Elk,945,Aerial
South,1991,Bison,319,"Aerial, Handling"
North,1991,Bison,565,Aerial
North,1991,Moose,282,Aerial
South,1991,Moose,146,Aerial
South,1991,Deer,154,Aerial
North,1991,Deer,117,Aerial
South,1991,Elk,479,Aerial
North,1992,Elk,1126,Aerial
North,1992,Bison,733,"Aerial, Handling"
North,1992,Moose,271,"Aerial, Handling"
North,1992,Deer,279,Aerial
South,1992,Bison,320,Aerial
South,1992,Moose,122,Aerial
South,1992,Deer,144,Aerial
South,1992,Elk,458,Aerial
North,1993,Elk,1228,Aerial
North,1993,Bison,730,"Aerial, Handling"
South,1993,Bison,375,"Aerial, Handling"
North,1993,Moose,281,Aerial
South,1993,Moose,102,Aerial
South,1993,Deer,128,Aerial
North,1993,Deer,292,Aerial
South,1993,Elk,593,Aerial
North,1994,Elk,1399,Aerial
North,1994,Bison,722,"Aerial, Handling"
South,1994,Bison,381,"Aerial, Handling"
North,1994,Moose,283,Aerial
South,1994,Moose,76,Aerial
South,1994,Deer,109,Aerial
North,1994,Deer,147,Aerial
South,1994,Elk,618,Aerial
North,1995,Elk,1239,Aerial
North,1995,Bison,738,"Aerial, Handling"
North,1995,Moose,229,"Aerial, Handling"
North,1995,Deer,315,Aerial
South,1995,Bison,371,Aerial
South,1995,Moose,85,Aerial
South,1995,Deer,195,Aerial
South,1995,Elk,433,Aerial
North,1996,Elk,1264,Aerial
North,1996,Moose,192,Aerial
South,1996,Moose,99,Aerial
North,1996,Bison,671,"Aerial, Handling"
South,1996,Bison,427,"Aerial, Handling"
South,1996,Deer,97,Aerial
North,1996,Deer,147,Aerial
South,1996,Elk,568,Aerial
North,1997,Elk,1169,Aerial
North,1997,Moose,258,Aerial
South,1997,Moose,86,Aerial
North,1997,Bison,625,"Aerial, Handling"
South,1997,Bison,428,Handling
South,1997,Deer,45,Aerial
North,1997,Deer,120,Aerial
South,1997,Elk,502,Aerial
North,1998,Elk,1470,Aerial
North,1998,Bison,562,"Aerial, Handling"
North,1998,Moose,264,Aerial
South,1998,Bison,354,"Aerial, Handling"
South,1998,Moose,81,Aerial
South,1998,Deer,57,Aerial
North,1998,Deer,174,Aerial
South,1998,Elk,439,Aerial
North,1999,Elk,1146,Aerial
North,1999,Moose,202,Aerial
South,1999,Bison,388,"Aerial, Handling"
South,1999,Moose,149,Aerial
North,1999,Bison,NA,"Aerial, Handling"
South,1999,Deer,169,Aerial
North,1999,Deer,186,Aerial
South,1999,Elk,449,Aerial
North,2000,Elk,NA,NA
North,2000,Moose,NA,NA
North,2000,Bison,NA,NA
South,2000,Bison,NA,NA
South,2000,Moose,NA,NA
South,2000,Deer,NA,NA
North,2000,Deer,NA,NA
South,2000,Elk,NA,NA
North,2001,Elk,607,Aerial
North,2001,Bison,419,"Aerial, Handling"
South,2001,Bison,339,"Aerial, Handling"
South,2001,Deer,56,Aerial
North,2001,Deer,182,Aerial
North,2001,Moose,284,Aerial
South,2001,Moose,190,Aerial
South,2001,Elk,311,Aerial
North,2002,Elk,631,Aerial
North,2002,Bison,495,"Aerial, Handling"
North,2002,Moose,304,Aerial
North,2002,Deer,211,Aerial
South,2002,Moose,NA,NA
South,2002,Bison,NA,NA
South,2002,Deer,NA,NA
South,2002,Elk,NA,NA
North,2003,Elk,550,Aerial
North,2003,Moose,170,Aerial
North,2003,Bison,527,Aerial
North,2003,Deer,263,Aerial
South,2003,Moose,177,Aerial
South,2003,Bison,NA,NA
South,2003,Deer,196,Aerial
South,2003,Elk,355,Aerial
North,2004,Elk,338,Aerial
North,2004,Moose,120,Aerial
South,2004,Moose,139,Aerial
North,2004,Bison,503,Aerial
South,2004,Bison,303,Aerial
South,2004,Deer,27,Aerial
North,2004,Deer,381,Aerial
South,2004,Elk,209,Aerial
North,2005,Elk,322,Aerial
North,2005,Moose,76,Aerial
South,2005,Moose,240,Aerial
North,2005,Bison,558,"Aerial, Handling"
North,2005,Deer,78,Aerial
South,2005,Bison,306,"Aerial, Handling"
South,2005,Deer,116,Aerial
South,2005,Elk,384,Aerial
North,2006,Elk,268,Aerial
North,2006,Moose,104,Aerial
North,2006,Bison,548,Aerial
North,2006,Deer,332,"Aerial, Handling"
South,2006,Moose,225,"Aerial, Handling"
South,2006,Bison,282,Aerial
South,2006,Deer,137,Aerial
South,2006,Elk,352,Aerial
North,2007,Elk,345,Aerial
North,2007,Moose,105,Aerial
South,2007,Moose,210,Aerial
North,2007,Bison,413,"Aerial, Handling"
South,2007,Bison,315,"Aerial, Handling"
South,2007,Deer,195,Aerial
North,2007,Deer,214,Aerial
South,2007,Elk,258,Aerial
North,2008,Elk,321,Aerial
North,2008,Moose,64,Aerial
North,2008,Bison,519,Aerial
North,2008,Deer,172,Aerial
South,2008,Moose,216,Aerial
South,2008,Bison,295,Aerial
South,2008,Deer,84,Aerial
South,2008,Elk,114,Aerial
North,2009,Elk,437,Aerial
North,2009,Moose,78,Aerial
South,2009,Moose,275,Aerial
North,2009,Bison,542,Aerial
South,2009,Bison,363,Aerial
South,2009,Deer,174,Aerial
North,2009,Deer,168,Aerial
South,2009,Elk,177,Aerial
North,2010,Elk,602,Aerial
North,2010,Bison,610,Aerial
North,2010,Moose,107,Aerial
North,2010,Deer,234,Aerial
South,2010,Moose,334,Aerial
South,2010,Bison,354,Aerial
South,2010,Deer,220,Aerial
South,2010,Elk,189,Aerial
North,2011,Elk,518,Aerial
North,2011,Moose,107,Aerial
North,2011,Bison,668,"Aerial, Handling"
North,2011,Deer,28,Aerial
South,2011,Moose,313,Aerial
South,2011,Bison,396,"Aerial, Handling"
South,2011,Deer,140,Aerial
South,2011,Elk,172,Aerial
North,2012,Elk,383,Aerial
North,2012,Moose,53,Aerial
North,2012,Bison,680,Aerial
North,2012,Deer,64,Aerial
South,2012,Moose,248,Aerial
South,2012,Bison,289,"Aerial, Handling"
South,2012,Deer,20,Aerial
South,2012,Elk,169,Aerial
North,2013,Elk,358,Aerial
North,2013,Moose,43,Aerial
North,2013,Bison,784,Aerial
North,2013,Deer,59,Aerial
South,2013,Moose,208,Aerial
South,2013,Bison,396,Aerial
South,2013,Deer,62,Aerial
South,2013,Elk,94,Aerial
North,2014,Elk,519,Aerial
North,2014,Moose,55,Aerial
North,2014,Bison,496,Aerial
North,2014,Deer,39,Aerial
South,2014,Moose,274,Aerial
South,2014,Bison,485,Aerial
South,2014,Deer,34,Aerial
South,2014,Elk,130,Aerial
North,2015,Elk,545,Aerial
North,2015,Moose,60,Aerial
North,2015,Bison,631,"Aerial, Handling"
South,2015,Moose,230,Aerial
South,2015,Bison,282,Aerial
South,2015,Deer,49,Aerial
North,2015,Deer,39,Aerial
South,2015,Elk,134,Aerial
North,2016,Elk,672,Aerial
North,2016,Moose,44,Aerial
South,2016,Moose,258,Aerial
South,2016,Deer,55,Aerial
North,2016,Bison,486,"Aerial, Handling"
South,2016,Bison,350,Aerial
North,2016,Deer,46,Aerial
South,2016,Elk,127,Aerial
South,2017,Bison,419,Aerial
North,2017,Bison,563,Aerial
North,2017,Deer,41,Aerial
South,2017,Deer,34,Aerial
North,2017,Elk,461,Aerial
South,2017,Elk,114,Aerial
North,2017,Moose,37,Aerial
South,2017,Moose,250,Aerial
